,ID,A,B,C,D,AIC,BIC,chi-squared
0,729,170030.589267,-1740.67634629,5.93677026246,-0.00674722303846,10.8518928333,10.0189307102,9.65112936793
0,730,97064.6069208,-987.767302677,3.34804025297,-0.00378135334231,11.7409816368,11.524622233,11.9452785175
0,731,58413.6832606,-600.112489381,2.0526892188,-0.00233931076937,15.4025191833,15.72028535,20.1813001317
0,732,42438.0304394,-438.376157422,1.50718446663,-0.00172631488741,47.6952707087,53.1644540287,113.988580032
0,733,98455.4525635,-1001.5721221,3.3935869672,-0.00383130162942,12.4852585067,12.2688991029,13.2853425593
0,734,106356.047394,-1078.04992606,3.63926178302,-0.00409307570277,16.6842785596,16.4679191558,24.204083821
0,735,-138331.918574,1404.78157071,-4.7521742359,0.00535477653507,33.1710686175,33.4888347842,186.014591371
0,736,-72481.2466077,736.963939041,-2.49646340117,0.00281710051093,116.036350502,121.641140029,1099.27820382
0,737,-218561.108657,2205.28107869,-7.41374778452,0.00830375791887,28.5793209295,28.3629615257,132.398079615
0,738,-208112.557151,2101.8287436,-7.07304238095,0.00793055518175,27.3236326387,27.1072732349,110.656310654
0,739,30792.5725528,-314.788773267,1.07173262933,-0.00121578896606,-3.40201363896,-4.23497576204,0.897110588671
0,740,24631.0941871,-250.967052154,0.85149610845,-0.000962618766223,-8.38831668337,-9.22127880646,0.390773705573
0,741,-59355.1189228,587.002798053,-1.93442094705,0.00212381315162,42.1886440179,45.7501310495,120.270199008
0,742,-60030.4104627,593.624800964,-1.95603185282,0.00214728102012,42.8590320668,46.4205190984,124.833974505
0,743,-42349.2044317,416.333041317,-1.36390508632,0.00148856643206,43.076695391,46.8544513077,120.37126503
0,744,-56838.8902342,562.325764672,-1.85405648242,0.00203687201026,43.8585194152,47.4200064468,131.96169953
0,745,-45004.8718,443.905570906,-1.4592435276,0.00159827372992,40.2927790686,44.0705349853,103.965480955
0,746,-46150.5430218,455.285570448,-1.49686657053,0.00163967858318,40.7592114238,44.5369673404,106.549322656
0,747,-46676.8578657,460.394630227,-1.51337848079,0.00165742711195,40.7615642004,44.5393201171,106.562517513
0,748,-47941.9510515,472.865321518,-1.5543078705,0.00170214378565,41.1537715867,44.9315275033,108.785094487
0,749,38215.3160258,-390.371237285,1.32810078392,-0.00150541522345,-25.7076731257,-26.5406352487,0.0217925730783
0,750,48568.0919826,-498.886948039,1.70691697233,-0.00194585339559,3.40909795425,2.57613583116,2.7915838649
0,751,29890.1948667,-305.672189691,1.04108481363,-0.00118149038928,-9.65686650143,-10.4898286245,0.316303964632
0,752,27592.161413,-281.920034019,0.95929235281,-0.00108765443147,-4.41676995692,-5.24973208001,0.757522385471
0,753,34193.5796143,-350.035807259,1.19349279889,-0.00135591112885,-9.12531472927,-9.95827685236,0.345604696644
0,754,34003.0870851,-347.68356396,1.18406118209,-0.0013435664285,-3.83858637002,-4.6715484931,0.834153151068
0,755,35377.2511232,-362.712384731,1.23866210094,-0.00140945971058,-9.85652098887,-10.689483112,0.305951905102
0,756,40080.2541438,-409.997788049,1.3969194558,-0.00158576896362,-3.6511242707,-4.48408639378,0.860626578053
0,757,28697.0217021,-300.028439328,1.04481123084,-0.00121241349284,-16.7607944957,-17.5937566188,0.0968066476114
